l_num_reflectors,l_reflector_angle,l_reflector_depth,l_start_offset,l_finish_offset,r_num_reflectors,r_reflector_angle,r_reflector_depth,r_start_offset,r_finish_offset,avg_angle,angle_diff,total_depth,avg_depth,num_total,num_diff,spacing_asym,DrumDeadT30,DrumLiveT30,DrumDiffusion,VocalT30,VocalDiffusion,experiment
8,21.6,46.57,52.4,37.63,6,49.48,40.85,68.92,69.37,35.54,27.879999999999995,87.42,43.71,14,2,48.260000000000005,183.72962778841932,,0.41676578751466914,240.63477471767303,0.4458496722087753,valiant_bison-results
9,21.38,35.35,20.84,75.64,6,43.46,23.61,40.68,81.85,32.42,22.080000000000002,58.96,29.48,15,3,26.049999999999994,201.5148392664763,,0.4314728715396414,243.88750891031884,0.45129534615114264,crimson_panther-results
8,28.94,13.98,56.65,53.3,5,52.54,36.7,65.57,37.64,40.74,23.599999999999998,50.68000000000001,25.340000000000003,13,3,24.57999999999999,181.70309213839053,,0.4174783179356251,228.70094837752617,0.45347477828494076,radiant_jaguar-results
4,66.74,44.4,10.76,45.24,5,62.94,21.08,31.47,65.79,64.84,3.799999999999997,65.47999999999999,32.739999999999995,9,1,41.260000000000005,156.24012460486958,,0.3943089117776565,208.548376315561,0.4503299651630094,fiery_otter-results
3,64.11,38.09,17.21,24.99,7,65.67,15.53,94.2,78.86,64.89,1.5600000000000023,53.620000000000005,26.810000000000002,10,4,130.86,159.9659314562243,,0.3977283788244478,212.88423178108678,0.4496039052064127,lucky_raven-results
5,12.19,32.39,15.77,84.47,9,60.18,35.14,99.74,97.22,36.185,47.99,67.53,33.765,14,4,96.72,246.8802125406687,,0.41080224998368187,254.6626990763625,0.44577519413298294,swift_ibis-results
3,67.38,35.05,91.25,41.29,7,47.47,49.96,33.09,89.27,57.425,19.909999999999997,85.00999999999999,42.504999999999995,10,4,106.13999999999999,160.76833921024692,,0.40085472067562,209.85597564178883,0.45499314023223625,purple_dragon-results
5,25.75,23.07,47.66,60.13,6,15.69,21.79,24.12,95.42,20.72,10.06,44.86,22.43,11,1,58.83,258.36148005450366,,0.4047268805547571,253.3668875386422,0.46066583191811883,golden_badger-results
9,34.44,43.83,94.39,85.89,6,60.28,24.21,10.83,47.65,47.36,25.840000000000003,68.03999999999999,34.019999999999996,15,3,121.80000000000001,170.1583948717642,,0.4187348897296121,228.28418468482192,0.4525222816379396,cool_phoenix-results
9,40.7,35.99,58.63,96.93,5,66.6,23.13,90.31,18.24,53.65,25.89999999999999,59.120000000000005,29.560000000000002,14,4,110.37,178.8203331200654,,0.4142123289894821,237.07661908775884,0.44716705468576995,frosty_eagle-results
8,61.76,30.26,22.18,17.61,10,21.94,22.49,35.08,75.43,41.85,39.81999999999999,52.75,26.375,18,2,70.72,171.41762030877058,,0.397975515887634,222.0166103399384,0.4602078601434141,stormy_bison-results
4,67.05,18.67,20.31,21.78,3,51.76,24.81,98.23,33.06,59.405,15.29,43.480000000000004,21.740000000000002,7,1,89.2,161.9424738283842,,0.3949231660643505,207.81663819588965,0.44554971344701083,quick_fox-results
10,51.08,17.3,20.49,52.84,7,16.06,24.18,27.49,88.02,33.57,35.019999999999996,41.480000000000004,20.740000000000002,17,3,42.17999999999999,207.0749542523123,,0.39729660190630606,239.98592277785283,0.4618305385685181,sturdy_tiger-results
7,54.48,31.19,15.25,82.69,3,16.48,33.94,64.5,94.51,35.48,38.0,65.13,32.565,10,4,61.07000000000001,168.48684349895197,,0.39786220046745535,224.01659844381038,0.4536711176571933,silent_falcon-results
6,69.12,12.8,32.7,92.91,5,60.29,36.25,18.24,66.14,64.705,8.830000000000005,49.05,24.525,11,1,41.230000000000004,162.53056666176295,,0.4013136201732662,212.37249529522222,0.4546626662930834,gleaming_dragon-results
3,25.95,19.2,53.3,71.01,6,28.12,34.58,17.17,56.34,27.035,2.1700000000000017,53.78,26.89,9,3,50.8,175.83414268588638,,0.4087885180766743,224.1602776336095,0.4597658016591408,brave_griffin-results
3,58.37,25.87,67.28,47.03,4,39.08,34.66,45.01,69.76,48.724999999999994,19.29,60.53,30.265,7,1,45.00000000000001,164.79183400569036,,0.4098451362014989,216.7975418015571,0.44788500947174104,swift_bison-results
7,64.65,36.48,86.61,37.14,7,31.05,19.93,90.25,28.88,47.85,33.60000000000001,56.41,28.205,14,0,11.900000000000002,169.80275329994382,,0.4004705746993807,222.0579131507057,0.4529337445322533,ancient_bison-results
4,61.49,39.48,62.49,55.02,8,51.72,32.71,75.09,79.2,56.605000000000004,9.770000000000003,72.19,36.095,12,4,36.78,170.39258080722368,,0.39929419417450907,220.30026493379194,0.45894042160216486,swift_phoenix-results
10,60.28,37.47,50.06,67.22,5,45.56,28.34,87.41,72.01,52.92,14.719999999999999,65.81,32.905,15,5,42.14,181.78438309057321,,0.4060709695853858,231.34760687893964,0.4586498198977072,gentle_gazelle-results
5,51.94,15.39,46.7,62.37,8,41.86,30.89,69.08,62.83,46.9,10.079999999999998,46.28,23.14,13,3,22.839999999999996,167.20954677063614,,0.4039893498299286,221.97476004662627,0.4578953859399262,brisk_falcon-results
10,10.49,38.42,36.1,14.62,10,23.76,11.52,14.99,62.64,17.125,13.270000000000001,49.94,24.97,20,0,69.13,351.63729715796643,,0.40830640121362116,271.74326058146517,0.4377066534179088,silent_gazelle-results
5,43.21,15.44,89.3,29.24,8,43.64,24.62,65.46,29.96,43.425,0.4299999999999997,40.06,20.03,13,3,24.560000000000006,178.60048370753165,,0.4110452079564929,228.54234850943544,0.4520814154938841,sneaky_gazelle-results
8,54.81,25.3,23.26,77.6,3,22.79,35.4,86.46,21.18,38.8,32.02,60.7,30.35,11,5,119.61999999999998,180.15016932870154,,0.4106051193017521,231.4938201830611,0.45441225174263866,brisk_tiger-results
7,61.9,11.62,51.37,92.09,5,25.95,37.28,29.64,10.63,43.925,35.95,48.9,24.45,12,2,103.19,172.72706444589633,,0.39931916016742164,218.1540903145325,0.45587455218119516,radiant_dragon-results
6,11.86,41.81,37.96,10.27,3,12.1,42.87,60.9,18.87,11.98,0.2400000000000002,84.68,42.34,9,3,31.54,401.126005990994,,0.36034140776301193,279.2080744505406,0.44767465738360085,luminous_fox-results
7,27.26,32.66,41.07,58.02,6,17.38,27.69,88.47,12.1,22.32,9.880000000000003,60.349999999999994,30.174999999999997,13,1,93.32,266.07496581293356,,0.40234223863573676,259.4429759741637,0.45118928923525936,nimble_bison-results
10,22.21,37.08,45.5,23.18,3,10.12,48.39,31.45,27.42,16.165,12.090000000000002,85.47,42.735,13,7,18.290000000000003,368.2424487001818,,0.39006003828443847,267.62429721076387,0.46180168178049785,swift_lynx-results
6,30.33,23.05,45.61,82.1,7,62.77,44.91,88.17,83.79,46.55,32.440000000000005,67.96,33.98,13,1,44.250000000000014,179.27886284935627,,0.4055589417892823,228.22909778726887,0.45749627207992344,purple_jaguar-results
5,45.16,41.43,48.13,80.49,4,30.19,37.57,50.86,95.04,37.675,14.969999999999995,79.0,39.5,9,1,17.28000000000001,178.93138767565515,,0.4071691920404116,230.4223403404419,0.45297810656860876,ancient_cheetah-results
9,28.17,19.39,99.07,51.51,4,42.59,35.9,64.56,61.49,35.38,14.420000000000002,55.29,27.645,13,5,44.489999999999995,199.62517827201043,,0.42784678664851944,244.5871650465376,0.4529840426462588,quick_cougar-results
8,43.89,48.34,26.34,79.54,8,20.53,37.3,74.81,39.55,32.21,23.36,85.64,42.82,16,0,88.46000000000001,190.2344830422554,,0.405973995783921,241.5021301399793,0.4625569491402918,cosmic_lion-results
3,53.6,39.1,57.09,22.97,6,64.6,21.03,39.45,77.84,59.099999999999994,10.999999999999993,60.13,30.065,9,3,72.51,161.24039840315396,,0.40383177076126353,214.32296626965143,0.4476132726012988,lucky_panther-results
5,10.67,28.3,51.37,24.77,6,64.45,14.76,50.86,97.61,37.56,53.78,43.06,21.53,11,1,73.35,191.91566646848952,,0.4220764754223443,249.66295092462343,0.44331188288770557,fiery_peacock-results
5,62.25,45.97,20.2,79.2,3,10.55,31.86,14.75,26.41,36.4,51.7,77.83,38.915,8,2,58.24000000000001,165.47953182029443,,0.3931305151244777,220.42715525874945,0.45382098532900755,zesty_wolf-results
10,29.41,44.8,89.7,24.63,7,51.32,38.14,45.23,25.9,40.365,21.91,82.94,41.47,17,3,45.74000000000001,180.48536187112717,,0.4245207600979942,231.5282706992535,0.46536459699855265,fierce_cheetah-results
9,25.53,25.02,42.36,41.83,8,35.72,37.61,11.14,88.03,30.625,10.189999999999998,62.629999999999995,31.314999999999998,17,1,77.42,240.4328961015576,,0.41146020306468156,246.4430844533901,0.46286709310537977,shadowy_badger-results
